Model Year,Regulatory Class,Vehicle Type,Production Share (%),Adjusted MPG,Adjusted MPG_City,Adjusted MPG_Hwy,Adjusted CO2 (g/mi),Adjusted CO2_City (g/mi),Adjusted CO2_Hwy (g/mi),Weight (lbs),Horsepower (hp),Footprint (sq. ft.)
"1996","Truck","All Truck","37.8","17.2","15","19.8","518","592","449","4255","179","-"
"1996","Truck","Pickup","14.9","17.1","15.1","19.7","518","590","452","4190","178","-"
"1996","Truck","Truck SUV","12.2","16.2","14.2","18.7","548","625","475","4386","189","-"
"1996","Truck","Van","10.7","18.3","15.9","21.4","485","558","416","4195","171","-"
"1997","All","All","100","20.2","17.4","23.6","441","512","376","3727","169","-"
"1997","Car","All Car","60.1","23.2","19.7","27.6","384","452","322","3285","156","-"
"1997","Car","Car SUV","2.5","19.2","17.1","21.7","462","521","409","3549","159","-"
"1997","Car","Sedan/Wagon","57.6","23.4","19.8","28","380","449","318","3274","156","-"
"1997","Truck","All Truck","39.9","16.8","14.7","19.4","528","603","459","4394","189","-"
"1997","Truck","Pickup","16.7","16.8","14.7","19.4","528","604","458","4415","196","-"
"1997","Truck","Truck SUV","14.5","16.1","14.2","18.4","551","626","483","4463","190","-"
"1997","Truck","Van","8.8","18.2","15.7","21.2","489","565","420","4240","174","-"
"1998","All","All","100","20.1","17.2","23.6","442","516","377","3744","171","-"
"1998","Car","All Car","58.3","23","19.5","27.5","386","456","324","3334","160","-"
"1998","Car","Car SUV","3.1","18.2","16","20.8","487","556","427","3824","168","-"
"1998","Car","Sedan/Wagon","55.1","23.4","19.7","28","380","450","318","3306","159","-"
"1998","Truck","All Truck","41.7","17.1","14.8","19.7","521","599","451","4317","188","-"
"1998","Truck","Pickup","16.7","17","14.8","19.6","523","601","454","4282","190","-"
"1998","Truck","Truck SUV","14.7","16.2","14.1","18.5","550","629","479","4450","192","-"
"1998","Truck","Van","10.3","18.7","16","22","475","555","405","4183","180","-"
"1999","All","All","100","19.7","16.9","23","451","527","386","3835","179","-"
"1999","Car","All Car","58.3","22.7","19.2","27","392","464","329","3390","164","-"
"1999","Car","Car SUV","3.2","18.5","16.3","21","480","546","423","3831","170","-"
"1999","Car","Sedan/Wagon","55.1","23","19.4","27.5","386","459","323","3365","164","-"
"1999","Truck","All Truck","41.7","16.6","14.5","19.1","535","615","465","4457","199","-"
"1999","Truck","Pickup","16.7","16.3","14.2","18.6","546","625","477","4486","205","-"
"1999","Truck","Truck SUV","15.4","16.1","14.1","18.4","553","632","484","4518","204","-"
"1999","Truck","Van","9.6","18.3","15.6","21.5","486","570","414","4306","183","-"
"2000","All","All","100","19.8","16.9","23","450","525","386","3821","181","-"
"2000","Car","All Car","58.8","22.5","19","26.7","395","468","333","3401","168","-"
"2000","Car","Car SUV","3.7","17.9","15.7","20.3","497","566","438","3870","174","-"
"2000","Car","Sedan/Wagon","55.1","22.9","19.3","27.3","388","461","326","3369","168","-"
"2000","Truck","All Truck","41.2","16.8","14.7","19.3","528","606","461","4421","199","-"
"2000","Truck","Pickup","15.8","16.7","14.6","18.9","534","609","470","4340","203","-"
"2000","Truck","Truck SUV","15.2","16","14","18.2","555","635","488","4602","206","-"
"2000","Truck","Van","10.2","18.6","15.9","21.8","478","561","407","4276","183","-"
"2001","All","All","100","19.6","16.8","22.8","453","529","390","3879","187","-"
"2001","Car","All Car","58.6","22.6","19.1","26.7","393","466","332","3411","169","-"
"2001","Car","Car SUV","4.8","18.8","16.4","21.4","472","540","415","3765","180","-"
"2001","Car","Sedan/Wagon","53.9","23","19.4","27.3","386","459","325","3380","168","-"
"2001","Truck","All Truck","41.4","16.5","14.4","18.8","538","618","472","4543","212","-"
"2001","Truck","Pickup","16.1","16","13.9","18.1","557","638","490","4551","216","-"
"2001","Truck","Truck SUV","17.3","16.4","14.4","18.6","541","618","478","4546","213","-"
"2001","Truck","Van","7.9","18","15.3","21.1","493","579","421","4518","202","-"
"2002","All","All","100","19.5","16.6","22.5","457","534","394","3951","195","-"
"2002","Car","All Car","55.2","22.8","19.2","26.8","390","462","332","3415","173","-"
"2002","Car","Car SUV","3.7","19.3","16.7","22","460","531","404","3747","179","-"
"2002","Car","Sedan/Wagon","51.5","23.1","19.4","27.2","385","458","326","3391","173","-"
"2002","Truck","All Truck","44.8","16.5","14.3","18.8","539","623","472","4612","223","-"
"2002","Truck","Pickup","14.8","15.8","13.8","17.8","564","646","498","4690","226","-"
"2002","Truck","Truck SUV","22.3","16.3","14.1","18.7","545","630","476","4636","229","-"
"2002","Truck","Van","7.7","18.7","15.9","21.9","475","560","407","4394","199","-"
"2003","All","All","100","19.6","16.7","22.7","454","533","391","3999","199","-"
"2003","Car","All Car","53.9","23","19.3","27.1","386","460","328","3437","176","-"
"2003","Car","Car SUV","3.6","19.9","17.2","22.7","446","516","391","3716","181","-"
"2003","Car","Sedan/Wagon","50.2","23.3","19.5","27.5","382","456","323","3417","176","-"
"2003","Truck","All Truck","46.1","16.7","14.4","19.1","533","618","465","4655","224","-"
"2003","Truck","Pickup","15.7","16.1","14","18.2","553","634","489","4642","223","-"
"2003","Truck","Truck SUV","22.6","16.4","14.1","18.8","541","629","472","4754","233","-"
"2003","Truck","Van","7.8","19","16","22.2","468","554","400","4393","202","-"
"2004","All","All","100","19.3","16.3","22.4","461","544","396","4111","211","-"
"2004","Car","All Car","52","22.9","19.1","27","389","466","329","3492","184","-"
"2004","Car","Car SUV","4.1","20","17","23.1","445","523","385","3854","198","-"
"2004","Car","Sedan/Wagon","48","23.1","19.3","27.4","384","462","324","3462","183","-"
"2004","Truck","All Truck","48","16.5","14.2","18.9","538","628","469","4783","240","-"
"2004","Truck","Pickup","15.9","15.7","13.7","17.8","565","650","499","4939","249","-"
"2004","Truck","Truck SUV","25.9","16.5","14.1","19","539","631","469","4756","240","-"
"2004","Truck","Van","6.1","19.2","16","22.7","464","557","392","4487","214","-"
"2005","All","All","100","19.9","16.8","23.1","447","529","385","4059","209","-"
"2005","Car","All Car","55.6","23.1","19.4","27.2","384","459","327","3498","183","-"
"2005","Car","Car SUV","5.1","20.2","17.3","23.2","440","515","383","3848","192","-"
"2005","Car","Sedan/Wagon","50.5","23.5","19.6","27.6","379","454","322","3463","182","-"
"2005","Truck","All Truck","44.4","16.9","14.4","19.5","526","617","457","4763","242","-"
"2005","Truck","Pickup","14.5","15.8","13.6","18.1","561","653","491","4988","260","-"
"2005","Truck","Truck SUV","20.6","16.7","14.3","19.2","531","622","463","4756","244","-"
"2005","Truck","Van","9.3","19.3","16.1","22.8","460","553","391","4430","209","-"
"2006","All","All","100","20.1","17","23.4","442","523","380","4067","213","-"
"2006","Car","All Car","57.9","23","19.2","27.1","386","463","328","3563","194","-"
"2006","Car","Car SUV","5","20.5","17.5","23.5","434","509","378","3876","192","-"
"2006","Car","Sedan/Wagon","52.9","23.3","19.4","27.5","382","459","324","3534","194","-"
"2006","Truck","All Truck","42.1","17.2","14.6","19.7","518","607","450","4758","240","-"
"2006","Truck","Pickup","14.5","16.1","13.9","18.4","551","640","484","4968","256","-"
"2006","Truck","Truck SUV","19.9","17.2","14.7","19.7","518","606","452","4715","240","-"
"2006","Truck","Van","7.7","19.5","16.2","23.1","455","548","385","4475","211","-"
"2007","All","All","100","20.6","17.4","24","431","511","371","4093","217","-"
"2007","Car","All Car","58.9","23.7","19.8","27.8","375","448","320","3551","191","-"
"2007","Car","Car SUV","6","20.6","17.6","23.8","431","505","374","3935","208","-"
"2007","Car","Sedan/Wagon","52.9","24.1","20.1","28.3","369","442","314","3507","189","-"
"2007","Truck","All Truck","41.1","17.4","14.8","20","512","602","444","4871","254","-"
"2007","Truck","Pickup","13.8","16.2","13.8","18.5","550","642","480","5144","269","-"
"2007","Truck","Truck SUV","21.7","17.7","15.1","20.3","503","590","437","4797","252","-"
"2007","Truck","Van","5.5","19.5","16.1","23.1","456","551","384","4479","225","-"
"2008","All","All","100","21","17.7","24.4","424","503","364","4085","219","48.9"
"2008","Car","All Car","59.3","23.9","20","28","372","445","317","3569","194","45.3"
"2008","Car","Car SUV","6.6","21.2","18.1","24.4","419","492","364","3902","204","46.2"
"2008","Car","Sedan/Wagon","52.7","24.3","20.2","28.5","366","439","311","3527","193","45.2"
"2008","Truck","All Truck","40.7","17.8","15.1","20.5","499","587","433","4837","254","54"
"2008","Truck","Pickup","12.9","16.5","14.1","18.9","539","632","470","5161","276","63"
"2008","Truck","Truck SUV","22.1","18.2","15.5","20.9","489","574","425","4727","250","48.7"
"2008","Truck","Van","5.7","19.8","16.4","23.5","448","541","379","4527","221","54.1"
"2009","All","All","100","22.4","18.9","26","397","470","341","3914","208","48.1"
"2009","Car","All Car","67","25","21","29.2","356","423","305","3502","186","45.2"
"2009","Car","Car SUV","6.5","22","18.8","25.3","403","472","352","3846","206","46.1"
"2009","Car","Sedan/Wagon","60.5","25.3","21.3","29.6","351","418","300","3464","184","45"
"2009","Truck","All Truck","33","18.5","15.7","21.4","480","565","416","4753","252","54"
"2009","Truck","Pickup","10.6","16.9","14.4","19.5","526","618","457","5176","278","62.6"
"2009","Truck","Truck SUV","18.4","19.3","16.4","22.2","461","542","401","4548","244","48.9"
"2009","Truck","Van","4","20.1","16.7","23.7","443","533","375","4572","220","54.5"
"2010","All","All","100","22.6","19.1","26.2","394","465","340","4001","214","48.5"
"2010","Car","All Car","62.8","25.7","21.7","29.9","346","410","297","3536","190","45.4"
"2010","Car","Car SUV","8.2","23","19.6","26.5","386","453","335","3949","213","46.9"
"2010","Car","Sedan/Wagon","54.5","26.2","22","30.5","340","404","292","3474","187","45.2"
"2010","Truck","All Truck","37.2","18.8","15.9","21.7","474","558","410","4784","253","53.8"
"2010","Truck","Pickup","11.5","16.9","14.3","19.4","527","620","457","5309","289","63.5"
"2010","Truck","Truck SUV","20.7","19.7","16.8","22.6","452","529","393","4555","243","48.3"
"2010","Truck","Van","5","20.1","16.7","23.7","442","531","374","4533","212","54.2"
"2011","All","All","100","22.3","18.8","25.9","399","472","344","4126","230","49.5"
"2011","Car","All Car","57.8","25.4","21.3","29.6","350","417","300","3617","200","46"
"2011","Car","Car SUV","10","23.5","20","27.1","378","444","328","3890","207","46.9"
"2011","Car","Sedan/Wagon","47.8","25.8","21.6","30.3","344","411","294","3559","199","45.8"
"2011","Truck","All Truck","42.2","19.1","16.2","22","466","548","404","4824","271","54.4"
"2011","Truck","Pickup","12.3","17.2","14.6","19.9","516","607","446","5268","304","63.9"
"2011","Truck","Truck SUV","25.5","19.8","16.9","22.8","449","526","391","4665","257","49.7"
"2011","Truck","Van","4.3","20.9","17.6","24.5","424","506","363","4502","259","55.4"
"2012","All","All","100","23.6","19.9","27.3","377","446","326","3979","222","48.8"
"2012","Car","All Car","64.4","26.9","22.7","31.2","331","392","285","3519","192","45.7"
"2012","Car","Car SUV","9.4","23.3","19.8","26.8","381","448","331","3915","211","46.8"
"2012","Car","Sedan/Wagon","55","27.6","23.3","32.1","322","382","277","3452","189","45.4"
"2012","Truck","All Truck","35.6","19.3","16.4","22.3","461","544","399","4809","276","54.5"
"2012","Truck","Pickup","10.1","17.2","14.6","19.9","516","609","446","5335","317","64.3"
"2012","Truck","Truck SUV","20.6","20","17.1","23","445","522","387","4640","261","49.7"
"2012","Truck","Van","4.9","21.3","17.7","25.1","418","502","355","4442","254","54.8"
"2013","All","All","100","24.2","20.5","28","368","434","318","4003","226","49.1"
"2013","Car","All Car","64.1","27.7","23.4","32.1","321","380","277","3543","197","45.9"
"2013","Car","Car SUV","10","24.3","20.7","28.1","365","430","316","3966","214","47.1"
"2013","Car","Sedan/Wagon","54.1","28.4","24","32.9","313","371","270","3465","194","45.7"
"2013","Truck","All Truck","35.9","19.8","16.8","22.8","450","530","390","4824","277","54.7"
"2013","Truck","Pickup","10.4","17.5","14.8","20.2","509","601","439","5429","328","65.3"
"2013","Truck","Truck SUV","21.8","20.8","17.8","23.9","427","500","372","4584","257","49.7"
"2013","Truck","Van","3.8","21.1","17.5","24.8","422","507","358","4543","257","54.8"
"2014","All","All","100","24.1","20.4","27.9","369","435","319","4060","230","49.7"
"2014","Car","All Car","59.3","27.6","23.4","32","322","380","278","3559","198","46.1"
"2014","Car","Car SUV","10.1","24.4","20.8","28.1","364","427","316","3865","204","46.5"
"2014","Car","Sedan/Wagon","49.2","28.4","24","32.9","313","371","270","3497","197","46"
"2014","Truck","All Truck","40.7","20.3","17.3","23.5","437","515","379","4790","277","55"
"2014","Truck","Pickup","12.4","18","15.3","20.9","493","582","426","5485","334","66.2"
"2014","Truck","Truck SUV","23.9","21.6","18.4","24.8","412","483","359","4483","250","49.2"
"2014","Truck","Van","4.3","21.3","17.7","25","418","501","355","4489","260","55.1"
"2015","All","All","100","24.6","20.9","28.5","361","425","312","4035","229","49.4"
"2015","Car","All Car","57.4","28.2","23.9","32.7","314","371","271","3556","197","46.1"
"2015","Car","Car SUV","10.2","25.1","21.5","28.8","353","413","309","3868","202","46.4"
"2015","Car","Sedan/Wagon","47.2","29","24.5","33.7","306","363","263","3489","196","46"
"2015","Truck","All Truck","42.6","21.1","17.9","24.2","423","496","367","4680","271","53.9"
"2015","Truck","Pickup","10.7","18.8","16","21.7","474","558","410","5165","324","65.3"
"2015","Truck","Truck SUV","28.1","21.9","18.7","25.2","406","475","353","4533","254","49.4"
"2015","Truck","Van","3.9","21.8","18.3","25.4","408","486","349","4416","250","54.6"
"2016","All","All","100","24.7","21","28.5","359","422","312","4035","230","49.5"
"2016","Car","All Car","55.3","28.5","24.2","33","311","367","268","3533","196","46.1"
"2016","Car","Car SUV","11.5","26.2","22.6","29.8","338","392","298","3782","194","46.1"
"2016","Car","Sedan/Wagon","43.8","29.2","24.7","34","303","360","261","3468","197","46.2"
"2016","Truck","All Truck","44.7","21.2","18.1","24.4","420","492","365","4656","272","53.7"
"2016","Truck","Pickup","11.7","18.9","16.1","21.8","471","553","409","5150","324","64.5"
"2016","Truck","Truck SUV","29.1","22.2","19","25.4","400","467","350","4482","252","49.1"
"2016","Truck","Van","3.9","21.7","18.1","25.5","410","492","349","4459","256","55.2"
"Prelim. 2017","All","All","100","25.2","21.5","28.9","352","412","307","4044","232","49.5"
"Prelim. 2017","Car","All Car","58.1","29.1","24.9","33.4","303","355","264","3570","198","46.2"
"Prelim. 2017","Car","Car SUV","11","26","22.4","29.7","339","395","298","3913","211","46.5"
"Prelim. 2017","Car","Sedan/Wagon","47.2","30","25.6","34.5","295","346","257","3490","195","46.2"
"Prelim. 2017","Truck","All Truck","41.9","21.2","18.1","24.3","420","492","366","4703","279","54"
"Prelim. 2017","Truck","Pickup","11.9","18.9","16","21.9","470","555","407","5246","336","64.3"
"Prelim. 2017","Truck","Truck SUV","26.8","22.2","19","25.3","401","467","351","4492","256","49.2"
"Prelim. 2017","Truck","Van","3.2","22.8","19.1","26.7","390","465","333","4462","261","55.7"
